"job_title","salary","department_name","region_name"
"marketing assistant",144724,"automotive","southeast"
"programmer iv",140194,"automotive","british columbia"
"assistant professor",146167,"automotive","british columbia"
"associate professor",141505,"automotive","quebec"
"media manager ii",136448,"automotive","southwest"
"marketing assistant",144724,"baby","southeast"
"programmer iv",140194,"baby","british columbia"
"assistant professor",146167,"baby","british columbia"
"associate professor",141505,"baby","quebec"
"media manager ii",136448,"baby","southwest"
"programmer iv",141464,"beauty","southwest"
"structural analysis engineer",138970,"beauty","nova scotia"
"nurse practicioner",148573,"beauty","southwest"
"design engineer",140004,"beauty","nova scotia"
"general manager",148687,"beauty","northwest"
"product engineer",141949,"clothing","southwest"
"associate professor",142103,"clothing","southwest"
"executive secretary",149099,"clothing","northwest"
"analyst programmer",138682,"clothing","nova scotia"
"design engineer",143853,"clothing","southeast"
"paralegal",142101,"clothing","southeast"
"general manager",147868,"computers","quebec"
"speech pathologist",148408,"computers","northwest"
"engineer iii",142403,"computers","northwest"
"vp quality control",147702,"computers","southwest"
"actuary",146024,"computers","nova scotia"
"help desk operator",139714,"computers","southeast"
"software engineer iii",149085,"electronics","nova scotia"
"help desk technician",139304,"electronics","northwest"
"chemical engineer",136406,"electronics","nova scotia"
"research nurse",137025,"electronics","british columbia"
"compensation analyst",136492,"electronics","southwest"
"senior sales associate",149336,"electronics","northeast"
"structural analysis engineer",148986,"games","northeast"
"programmer analyst iii",145181,"games","northeast"
"programmer i",144073,"games","northeast"
"structural analysis engineer",149597,"games","northeast"
"executive secretary",144767,"games","british columbia"
"recruiting manager",145692,"garden","british columbia"
"vp accounting",145575,"garden","northeast"
"employees accountant iv",143223,"garden","quebec"
"web developer iii",143846,"garden","northwest"
"senior financial analyst",149221,"garden","southeast"
"nurse practicioner",144965,"grocery","southeast"
"senior quality engineer",144724,"grocery","nova scotia"
"registered nurse",144953,"grocery","nova scotia"
"actuary",143570,"grocery","southwest"
"product engineer",148860,"grocery","southwest"
"speech pathologist",148993,"health","northeast"
"sales associate",147440,"health","southeast"
"analyst programmer",147290,"health","quebec"
"sales representative",148106,"health","southeast"
"director of sales",149929,"health","quebec"
"gis technical architect",142967,"home","british columbia"
"quality engineer",142255,"home","southwest"
"internal auditor",143855,"home","british columbia"
"recruiting manager",142794,"home","northeast"
"cost accountant",145962,"home","northwest"
"director of sales",139845,"industrial","southwest"
"vp quality control",146432,"industrial","southeast"
"software engineer iv",140996,"industrial","northwest"
"vp product management",149598,"industrial","northwest"
"internal auditor",148640,"industrial","southwest"
"food chemist",143226,"industrial","nova scotia"
"financial analyst",140850,"jewelery","southwest"
"geological engineer",138459,"jewelery","northeast"
"cost accountant",140858,"jewelery","nova scotia"
"payment adjustment coordinator",145283,"jewelery","northeast"
"operator",148816,"jewelery","southwest"
"social worker",130188,"kids","northwest"
"vp accounting",145281,"kids","southwest"
"research associate",133040,"kids","quebec"
"senior editor",128617,"kids","southwest"
"business systems development analyst",149114,"kids","nova scotia"
"programmer iv",148952,"movies","quebec"
"marketing manager",142988,"movies","quebec"
"design engineer",149351,"movies","nova scotia"
"web developer ii",143433,"movies","northeast"
"nurse",140708,"music","northeast"
"employees accountant iii",146970,"music","northwest"
"account coordinator",142840,"music","northeast"
"account representative i",135786,"music","nova scotia"
"senior cost accountant",140430,"outdoors","southeast"
"data coordiator",139347,"outdoors","northeast"
"research associate",144608,"outdoors","southwest"
"geologist iv",138540,"outdoors","nova scotia"
"paralegal",146256,"shoes","northeast"
"project manager",148906,"shoes","british columbia"
"executive secretary",148260,"shoes","nova scotia"
"chemical engineer",147003,"shoes","northeast"
"help desk operator",148889,"shoes","southwest"
"social worker",142483,"sports","northwest"
"executive secretary",133845,"sports","southwest"
"safety technician i",147739,"sports","british columbia"
"financial advisor",140243,"sports","british columbia"
"pharmacist",139564,"sports","nova scotia"
"product engineer",143781,"tools","southwest"
"systems administrator iii",146611,"tools","nova scotia"
"systems administrator i",147166,"tools","quebec"
"gis technical architect",145363,"tools","northwest"
"senior financial analyst",148940,"toys","quebec"
"geological engineer",143595,"toys","quebec"
"account coordinator",149586,"toys","northeast"
"registered nurse",144661,"toys","northwest"
"data coordiator",148144,"other","southwest"
"analog circuit design manager",147150,"other","quebec"
"geologist iii",149835,"other","northeast"
"office assistant iii",145559,"other","southeast"
"chemical engineer",147862,"other","british columbia"
"information systems manager",145284,"other","nova scotia"
"financial advisor",145747,"other","northwest"
"research assistant ii",146701,"other","nova scotia"
"assistant media planner",146745,"other","northeast"
